researchBudget, productType, productPricePerUnit, productStatus, eventCountry, eventAttendance, afflictionCommunicable, afflictionCasesReported, afflictionDeathRate, afflictionImmunizationPercentage, afflictionCountry, countryRegion, countryGDP, countryLandlocked, countryPopulation, countryRural, salesTotalRevenue
815065,64,582,6,1,-1,1,-1,-1,-1,1,1,2900,0,1165486291,1,1
22241,9,614,0,7,-1,0,-1,-1,-1,2,1,2100,0,203631356,1,0
63227,83,207,6,7,-1,1,-1,-1,-1,5,0,10700,0,51216967,0,1
461429,64,414,6,7,-1,1,-1,-1,-1,9,3,7800,0,193886505,0,0
461003,64,124,0,9,-1,1,-1,-1,98,8,0,10700,0,47880595,0,1
796188,64,444,6,3,-1,1,-1,-1,99,4,0,10700,0,53687125,0,0
784463,64,47,9,9,-1,1,70,-1,-1,4,2,29800,0,36109487,0,0
771886,64,380,9,1,-1,1,-1,-1,99,4,0,4000,0,92442549,1,1
793502,51,888,0,1,-1,1,-1,-1,-1,3,0,10700,0,44187637,0,1
36079,64,654,6,7,-1,1,-1,-1,98,5,1,5000,0,1303720000,0,0
727217,64,398,7,7,-1,1,-1,-1,-1,9,0,10700,0,44187637,0,1
437559,64,282,9,5,-1,1,-1,-1,99,3,1,5000,0,1354190000,0,0
523826,51,69,9,5,-1,0,-1,-1,-1,2,1,5000,0,1311020000,0,1
54180,64,948,6,6,-1,1,-1,-1,-1,2,3,7800,0,193886505,0,0
607183,64,529,8,3,-1,1,-1,-1,-1,5,2,37800,0,320738994,0,1
469434,64,593,0,2,-1,1,-1,-1,76,6,2,9000,0,124777326,0,0
182710,83,312,6,9,-1,1,-1,-1,-1,1,1,5000,0,1317885000,0,1
661885,64,687,6,8,-1,1,-1,-1,83,9,2,37800,0,316059947,0,0
931517,64,843,6,5,-1,0,-1,-1,-1,8,0,10700,0,47880595,0,0
735122,64,621,9,9,-1,1,-1,-1,-1,4,1,2100,0,167808106,1,0
44882,83,851,9,1,-1,1,126687518,-1,-1,9,1,2100,0,199426953,1,0
950914,51,551,6,9,-1,0,102738592,-1,-1,2,0,4000,0,96442590,1,0
414035,83,569,6,7,-1,1,-1,-1,75,7,1,5000,0,1402760000,0,0
927658,64,200,6,2,-1,1,205220200,-1,-1,9,1,5000,0,1317885000,0,1
659414,64,917,6,9,-1,1,-1,-1,44,9,3,7800,0,197514541,0,0
989985,83,205,6,7,-1,1,-1,-1,-1,6,1,2100,0,203631356,1,1
364637,6,378,9,4,-1,1,-1,-1,-1,2,1,2100,0,216565317,1,0
354679,64,810,6,2,-1,1,-1,-1,93,3,2,29800,0,36109487,0,1
851098,85,8,6,7,-1,1,-1,-1,-1,4,2,37800,0,318386329,0,0
218817,64,183,0,4,-1,1,-1,-1,-1,2,1,5000,0,1313973713,0,0
260567,64,464,5,1,-1,1,39015,-1,-1,2,2,9000,0,124777326,0,0
743361,64,507,9,9,-1,1,-1,-1,-1,6,0,4000,0,75523576,1,0
119893,83,581,6,6,729000,1,-1,-1,88,6,2,29800,0,35082954,0,1
721078,64,801,0,9,-1,0,93556217,-1,-1,7,0,10700,0,58558267,0,0
364432,64,649,8,3,-1,1,-1,-1,-1,7,1,2100,0,195305012,1,0
750432,10,445,6,9,-1,1,-1,-1,77,7,0,4000,0,78232124,1,1
905347,51,831,6,9,-1,0,-1,-1,-1,3,2,29800,0,37065178,0,0
298746,64,170,0,2,-1,1,-1,-1,93,5,2,9000,0,126190782,0,1
256075,64,525,6,6,296440,1,-1,-1,-1,5,1,2100,0,195305012,1,0
74194,51,131,9,1,-1,1,-1,-1,89,1,0,10700,0,52003759,0,0
156621,13,119,6,9,-1,0,-1,-1,-1,1,1,5000,0,1379860000,0,0
792977,64,674,9,9,-1,0,-1,-1,-1,6,3,7800,0,190130445,0,1
225053,64,821,6,7,-1,1,-1,-1,77,6,3,7800,0,211049519,0,0
345699,64,430,6,7,-1,1,-1,-1,93,1,2,29800,0,32243753,0,0
360782,82,966,9,9,-1,1,2637186,32,-1,9,2,29800,0,37593384,0,0
211363,70,255,6,7,-1,1,-1,-1,94,1,0,10700,0,47880595,0,0
912129,64,401,9,5,-1,1,-1,-1,-1,2,1,2100,0,165803560,1,0
74222,91,523,6,9,-1,1,-1,-1,94,8,2,9000,0,124777326,0,0
344023,83,375,5,9,-1,1,88605,-1,-1,9,2,37800,0,313877662,0,0
52101,39,606,6,9,-1,1,513351,190000,-1,6,2,37800,0,306771529,0,1
602862,64,697,5,1,-1,0,-1,-1,-1,7,0,4000,0,100388076,1,1
160726,64,815,6,7,-1,0,41252469,-1,-1,5,1,5000,0,1354190000,0,0
956222,12,281,6,4,51436,1,10264,0,-1,2,0,10700,0,55386369,0,0
652702,83,799,6,7,-1,1,-1,-1,-1,8,1,5000,0,1345035000,0,1
485751,64,679,6,4,-1,1,-1,-1,99,3,1,5000,0,1354190000,0,1
114520,83,363,6,1,-1,1,13969000,-1,-1,7,1,5000,0,1371860000,0,0
748611,83,375,6,4,-1,1,1008776,3,-1,4,3,7800,0,197514541,0,1
192401,83,277,6,1,-1,1,-1,-1,93,1,2,9000,0,106005199,0,1
935943,64,24,6,5,-1,1,-1,-1,44,9,2,37800,0,311583481,0,1
561905,77,942,6,5,-1,0,36697024,-1,-1,5,0,4000,0,94447071,1,0
226666,9,975,9,1,-1,1,-1,-1,99,4,1,2100,0,191260799,1,1
528110,64,216,9,1,-1,1,-1,-1,99,4,1,2900,0,1217726217,1,0
712000,83,997,6,9,-1,1,-1,-1,96,8,2,29800,0,34339328,0,0
470820,75,997,9,6,-1,0,-1,-1,-1,7,2,29800,0,32571174,0,0
525722,64,830,6,7,-1,1,-1,-1,95,3,1,2900,0,1234281163,1,1
783746,83,555,6,7,-1,1,-1,-1,71,6,2,9000,0,115695468,0,0
512478,10,364,9,6,729000,1,-1,-1,84,6,0,4000,0,90424668,1,0
944804,64,536,6,3,-1,1,-1,-1,-1,1,1,2100,0,160304007,1,1
737287,83,961,5,4,-1,1,-1,-1,94,8,1,5000,0,1396215000,0,1
198303,64,647,9,4,-1,1,-1,-1,-1,5,3,7800,0,207833825,0,1
771684,11,534,9,8,-1,1,806000,-1,-1,6,2,29800,0,34004889,0,0
260058,64,749,6,4,-1,0,29649975,-1,-1,8,2,29800,0,32889025,0,0
228808,83,869,6,7,-1,1,12714039,-1,-1,5,1,2100,0,187280125,1,1
764242,64,208,6,3,-1,0,-1,-1,-1,9,3,7800,0,211049519,0,0
749225,64,316,6,7,-1,1,-1,-1,-1,8,1,5000,0,1337705000,0,1
341824,64,10,6,2,-1,1,47029,16000,-1,5,3,7800,0,204471759,0,1
250040,64,515,6,9,-1,1,1875,0,-1,1,2,37800,0,313877662,0,1
244250,64,208,6,9,-1,1,-1,-1,-1,7,3,7800,0,190130445,0,1
44556,83,122,6,6,-1,1,442439,32,-1,7,1,2100,0,160304007,1,1
587474,88,948,9,9,-1,1,-1,-1,92,8,0,4000,0,79636081,1,1
778899,51,864,9,1,-1,0,101353522,-1,-1,2,2,29800,0,35702908,0,1
471696,5,449,9,7,-1,1,-1,-1,72,6,1,5000,0,1407745000,0,1
82985,63,964,6,4,-1,1,-1,-1,14,1,2,37800,0,295516599,0,1
984308,75,739,9,9,-1,1,-1,-1,54,7,2,37800,0,301231207,0,0
957371,64,489,0,5,5029873,1,1016656,4,-1,4,1,5000,0,1337705000,0,1
892537,10,718,6,7,-1,1,-1,-1,-1,2,0,10700,0,53687125,0,0
286673,64,653,6,9,-1,0,-1,-1,-1,2,2,9000,0,107449525,0,1
953661,64,701,6,7,-1,0,8419590,-1,-1,1,2,29800,0,32889025,0,1
478124,64,943,6,7,-1,1,-1,-1,84,6,2,29800,0,32889025,0,0
238810,64,90,6,3,-1,1,-1,-1,96,3,1,2100,0,171648984,1,1
748981,83,159,8,3,-1,0,365213416,-1,-1,9,2,37800,0,326838199,0,0
928782,64,234,0,1,-1,1,-1,-1,69,7,3,7800,0,202763744,0,0
206626,64,90,9,9,-1,1,-1,-1,98,8,1,2900,0,1147609924,1,1
366927,64,837,9,4,-1,1,-1,-1,96,5,1,5000,0,1379860000,0,1
92935,64,475,6,5,-1,1,-1,-1,87,9,3,7800,0,190130445,0,0
30790,64,667,9,6,-1,1,-1,-1,-1,3,2,37800,0,311583481,0,1
375809,64,221,9,6,-1,1,-1,-1,99,5,3,7800,0,201035904,0,1
778124,64,438,6,6,3178856,1,-1,-1,-1,8,2,37800,0,328329953,0,1
757069,64,286,6,3,-1,1,-1,-1,-1,1,1,2900,0,1265780243,1,0
129488,64,382,9,9,-1,1,-1,-1,-1,5,1,5000,0,1313973713,0,0
443932,64,414,0,5,-1,0,24653971,-1,-1,6,2,9000,0,120355137,0,1
68006,83,612,9,9,-1,1,-1,-1,-1,1,3,7800,0,188167353,0,1
218694,64,215,8,7,-1,1,-1,-1,52,7,0,10700,0,51216967,0,1
395047,64,487,9,9,-1,1,-1,-1,-1,4,0,10700,0,58558267,0,0
429424,51,729,9,2,-1,1,-1,-1,99,5,0,4000,0,88404652,1,1
815023,64,30,6,7,-1,1,-1,-1,83,5,2,37800,0,326838199,0,0
916694,64,771,6,9,-1,0,14483873,-1,-1,7,0,10700,0,52003759,0,0
4404,51,502,7,5,804659,1,233447,-1,-1,3,0,4000,0,88404652,1,0
322107,64,530,9,5,-1,0,19584784,-1,-1,3,2,9000,0,117274156,0,1
885575,64,612,8,4,-1,1,-1,-1,-1,2,2,9000,0,117274156,0,1
453421,64,544,9,6,-1,1,-1,-1,-1,5,2,29800,0,37065178,0,1
493883,83,441,6,4,-1,1,-1,-1,91,1,3,7800,0,204471759,0,1
276330,64,366,6,9,-1,1,-1,-1,91,2,2,9000,0,126190782,0,1
618960,64,758,6,9,-1,0,48624078,-1,-1,7,0,4000,0,82761244,1,1
65780,83,705,6,9,-1,1,-1,-1,93,2,1,2900,0,1265780243,1,1
679672,64,148,6,3,-1,1,-1,-1,90,9,2,37800,0,326838199,0,1
740358,39,403,6,9,-1,1,632199,63,-1,6,1,2100,0,171648984,1,1
368172,75,457,8,7,-1,1,95652,3,-1,5,1,2100,0,165803560,1,1
414796,83,953,6,7,-1,1,-1,-1,-1,1,1,2900,0,1265780243,1,1
661945,10,297,6,7,-1,1,-1,-1,-1,8,1,5000,0,1317885000,0,0
844484,64,147,7,9,-1,1,-1,-1,94,1,1,2900,0,1183209471,1,1
162194,10,764,6,6,296440,1,-1,-1,-1,9,2,29800,0,34714222,0,0
471432,64,48,0,3,-1,1,-1,-1,98,5,2,37800,0,316059947,0,1
299832,64,759,6,2,-1,0,-1,-1,-1,2,0,10700,0,53687125,0,1
252508,64,605,7,7,-1,1,-1,-1,-1,2,1,2900,0,1095351995,1,0
657305,64,383,6,9,-1,1,-1,-1,98,8,3,7800,0,195713637,0,1
373028,83,441,9,5,5029873,0,17487610,-1,-1,6,2,29800,0,34714222,0,1
795871,10,659,8,9,-1,1,-1,-1,-1,2,1,2100,0,164022626,1,1
229412,64,6,6,9,-1,1,-1,-1,74,6,2,37800,0,326838199,0,1
47853,83,770,6,5,-1,1,-1,-1,-1,4,0,4000,0,78887007,1,0
707314,64,252,6,3,-1,1,-1,-1,-1,1,0,4000,0,79636081,1,0
403435,83,730,6,7,-1,1,100037618,-1,-1,9,1,5000,0,1396215000,0,0
155569,83,499,6,9,-1,1,3171001,46,-1,9,0,4000,0,78232124,1,1
837003,64,985,6,9,-1,0,-1,-1,-1,2,2,29800,0,35702908,0,1
726296,70,293,9,9,-1,0,-1,-1,-1,8,3,7800,0,186127108,0,0
799058,51,503,9,9,-1,1,-1,-1,-1,1,2,29800,0,33098932,0,1
990354,83,311,7,1,-1,0,-1,-1,-1,9,2,37800,0,304093966,0,0
515828,64,681,0,9,-1,0,-1,-1,-1,8,0,10700,0,52003759,0,0
68368,64,411,6,9,-1,1,-1,-1,-1,3,0,10700,0,49119766,0,0
573686,83,225,6,9,-1,1,7294138,-1,-1,5,0,10700,0,54544184,0,0
70748,64,978,7,9,-1,1,-1,-1,74,6,1,5000,0,1402760000,0,1
763334,64,202,6,7,-1,0,8302600,-1,-1,1,2,37800,0,326838199,0,1
153812,64,210,6,8,-1,1,-1,-1,99,3,2,29800,0,32889025,0,0
815268,64,887,6,7,-1,1,-1,-1,-1,1,0,4000,0,94447071,1,0
250982,64,676,8,2,-1,1,-1,-1,84,9,1,5000,0,1345035000,0,1
36294,9,341,6,7,-1,0,82036388,-1,-1,2,1,2900,0,1352642283,1,1
234075,64,978,8,6,-1,1,-1,-1,73,6,3,7800,0,201035904,0,0
307655,64,348,6,4,-1,1,-1,-1,-1,1,1,5000,0,1371860000,0,1
145223,83,941,6,4,-1,1,-1,-1,-1,8,1,2900,0,1200669762,1,0
14976,75,627,9,9,-1,0,21809176,-1,-1,6,2,29800,0,32889025,0,1
999892,64,75,5,5,292161,1,-1,-1,93,2,1,2100,0,167808106,1,0
666046,64,162,6,3,-1,1,-1,-1,92,1,1,2100,0,171648984,1,0
471616,83,677,7,7,-1,1,-1,-1,-1,7,2,9000,0,123333379,0,0
691922,64,869,6,7,-1,1,-1,-1,56,7,0,4000,0,81134789,1,1
9095,64,563,8,6,-1,0,-1,-1,-1,7,0,10700,0,50477013,0,0
894064,83,489,6,9,-1,0,17545384,-1,-1,8,3,7800,0,195713637,0,0
966811,11,875,9,4,-1,1,-1,-1,-1,5,0,10700,0,57009751,0,0
454063,83,469,6,7,-1,1,-1,-1,92,2,1,5000,0,1331260000,0,0
14992,64,951,6,7,-1,1,-1,-1,96,3,1,2100,0,171648984,1,0
740139,64,54,0,7,-1,1,100023,-1,-1,9,1,2100,0,183340168,1,0
251204,64,801,6,3,-1,1,2242,0,-1,1,2,37800,0,298444215,0,0
964572,83,51,6,9,-1,1,-1,-1,91,9,2,37800,0,328329953,0,0
913540,39,286,6,9,-1,0,-1,-1,-1,2,0,4000,0,94447071,1,1
152530,64,426,6,1,325138,0,-1,-1,-1,2,0,4000,0,81134789,1,1
879055,64,235,6,1,-1,1,-1,-1,-1,1,2,9000,0,114092961,0,0
292221,64,542,6,9,-1,1,-1,-1,-1,2,3,7800,0,206163056,0,1
592686,83,965,6,7,-1,1,-1,-1,-1,4,2,9000,0,107560155,0,0
757497,64,839,6,4,-1,1,184483716,-1,-1,9,1,2900,0,1250287939,1,1
778039,83,136,0,2,-1,1,-1,-1,70,9,1,2900,0,1200669762,1,0
744753,51,811,6,7,-1,1,-1,-1,95,9,1,5000,0,1407745000,0,1
883989,12,939,6,7,-1,1,260347453,-1,-1,9,1,2100,0,160304007,1,0
214717,64,163,0,3,-1,1,-1,-1,82,9,3,7800,0,197514541,0,1
260702,64,144,6,7,-1,1,-1,-1,-1,8,0,10700,0,51216967,0,1
907062,83,434,6,9,-1,1,-1,-1,98,3,2,9000,0,106005199,0,0
835433,64,907,6,7,-1,1,-1,-1,98,8,2,9000,0,109170503,0,0
954044,64,879,9,9,-1,1,-1,-1,-1,1,0,10700,0,49779472,0,0
949522,64,524,6,7,-1,0,-1,-1,-1,8,2,9000,0,106005199,0,0
16600,9,899,5,7,-1,1,-1,-1,93,8,0,10700,0,55386369,0,0
96851,83,287,6,9,-1,1,-1,-1,91,1,1,2100,0,195305012,1,1
176604,64,212,6,9,-1,1,-1,-1,96,2,2,29800,0,34339328,0,0
938397,16,712,6,9,-1,1,-1,-1,89,9,2,37800,0,323071755,0,1
692727,83,396,6,7,-1,1,-1,-1,96,5,1,5000,0,1324655000,0,1
188430,64,655,6,9,-1,0,22815610,-1,-1,6,0,4000,0,81134789,1,1
199583,70,977,9,9,-1,1,-1,-1,-1,4,3,7800,0,190130445,0,0
170785,83,34,7,8,-1,1,-1,-1,96,8,1,2100,0,183340168,1,0
864311,39,701,6,2,-1,0,21809176,-1,-1,6,1,2900,0,1183209471,1,0
949620,8,794,9,9,-1,1,-1,-1,90,1,0,10700,0,51216967,0,1
967449,10,674,6,8,-1,1,-1,-1,-1,7,2,29800,0,36109487,0,1
10752,83,486,7,1,-1,0,-1,-1,-1,5,1,2900,0,1183209471,1,0
905386,64,242,9,7,-1,1,-1,-1,-1,3,0,4000,0,84529251,1,1
217925,83,209,6,9,-1,1,-1,-1,94,2,0,10700,0,52003759,0,0
304249,63,94,9,9,-1,1,48541,13000,-1,5,2,9000,0,127575529,0,0
874970,64,890,6,9,15900,0,23661710,-1,-1,6,2,37800,0,311583481,0,1
407864,64,26,6,3,-1,1,0,-1,-1,8,3,7800,0,207833825,0,1
132374,64,243,7,8,-1,0,36697024,-1,-1,5,0,4000,0,94447071,1,0
295292,83,238,0,8,-1,1,-1,-1,-1,1,1,2100,0,207906210,1,1
462059,11,899,0,7,-1,1,624045,47,-1,6,1,2900,0,1250287939,1,0
741656,83,125,6,6,729000,1,-1,-1,-1,7,1,5000,0,1337705000,0,0
137038,64,623,9,9,-1,1,87686,3,-1,5,2,29800,0,34714222,0,1
940091,64,147,6,2,-1,1,-1,-1,91,2,0,10700,0,49779472,0,0
887860,64,721,9,4,-1,1,1857,0,-1,1,1,2100,0,199426953,1,1
743124,91,843,6,6,-1,1,48472,15000,-1,5,1,2900,0,1217726217,1,1
384454,64,732,9,9,-1,1,-1,-1,-1,1,3,7800,0,195713637,0,1
52100,64,665,9,1,2725860,1,-1,-1,93,5,1,2100,0,207906210,1,0
306327,83,387,6,7,-1,1,-1,-1,75,7,1,2100,0,203631356,1,0
711436,64,529,7,7,-1,1,-1,-1,99,5,0,10700,0,51216967,0,1
354416,64,117,6,9,-1,0,390773225,-1,-1,4,2,29800,0,33247118,0,0
41332,83,384,6,7,-1,1,-1,-1,98,8,2,37800,0,301231207,0,0
367651,64,275,6,1,-1,1,-1,-1,63,7,1,2100,0,187280125,1,0
684895,64,382,6,4,-1,1,-1,-1,-1,1,0,10700,0,57009751,0,1
700873,6,967,0,7,-1,1,-1,-1,-1,9,1,2100,0,207906210,1,1
71473,51,647,6,9,-1,1,-1,-1,87,3,2,29800,0,35702908,0,1
154009,64,70,0,9,-1,1,-1,-1,-1,2,1,5000,0,1313973713,0,1
631459,64,241,9,8,-1,1,25800,2,-1,3,1,2100,0,187280125,1,1
538768,63,454,9,5,-1,0,-1,-1,-1,1,0,10700,0,48489464,0,1
743036,83,468,6,6,-1,1,-1,-1,92,2,2,37800,0,325122128,0,1
113467,63,906,6,3,-1,0,-1,-1,-1,7,2,9000,0,114092961,0,1
751853,64,501,9,7,-1,1,-1,-1,80,6,0,10700,0,49779472,0,0
811691,64,709,0,9,-1,1,-1,-1,99,3,1,2900,0,1265780243,1,0
181678,83,833,6,2,-1,1,391255,37,-1,6,3,7800,0,209469320,0,1
413468,64,392,6,1,-1,1,-1,-1,-1,1,1,2100,0,165803560,1,0
18449,64,532,6,5,-1,1,-1,-1,75,7,1,2100,0,212228288,1,0
960988,83,274,6,1,-1,1,447493,120000,-1,6,0,10700,0,52832659,0,0
193373,83,82,6,6,729000,1,-1,-1,-1,4,0,4000,0,94447071,1,0
255977,64,929,6,5,-1,1,-1,-1,69,7,3,7800,0,202763744,0,0
160160,64,4,6,7,-1,0,93556217,-1,-1,7,2,29800,0,37593384,0,0
130927,39,897,6,4,-1,1,662100,-1,-1,6,0,10700,0,52832659,0,1
412434,64,526,6,5,-1,1,-1,-1,-1,4,0,10700,0,49119766,0,0
718083,83,516,6,8,-1,1,-1,-1,-1,1,2,9000,0,123333379,0,1
537624,51,993,9,2,-1,1,-1,-1,99,4,3,7800,0,197514541,0,1
939525,64,359,9,9,-1,1,-1,-1,95,8,1,2900,0,1324517250,1,1
129754,51,700,6,9,-1,0,362644736,-1,-1,9,2,9000,0,106005199,0,1
508318,83,192,0,7,-1,1,-1,-1,98,3,2,37800,0,301231207,0,0
586538,83,460,6,7,-1,0,-1,-1,-1,7,2,9000,0,110815272,0,0
76158,83,560,0,3,-1,1,-1,-1,94,2,1,2900,0,1280842119,1,0
250132,64,613,6,8,-1,1,-1,-1,90,9,2,29800,0,34714222,0,0
330383,5,604,9,9,-1,1,-1,-1,-1,2,3,7800,0,190130445,0,0
675252,83,540,6,1,-1,0,-1,-1,-1,7,1,2100,0,165803560,1,0
164713,64,349,9,9,-1,1,-1,-1,76,6,1,2100,0,203631356,1,0
239282,83,263,6,4,-1,1,328570,42,-1,6,1,2900,0,1095351995,1,1
247332,64,301,6,2,-1,1,-1,-1,75,7,2,37800,0,304093966,0,0
922238,83,795,9,9,-1,1,-1,-1,94,8,1,2100,0,195305012,1,1
752635,64,184,6,7,-1,1,855684,2,-1,4,2,29800,0,37065178,0,0
515549,64,460,6,1,-1,1,328570,42,-1,6,2,9000,0,107449525,0,0
685032,64,781,9,4,-1,0,97860118,-1,-1,2,2,9000,0,112463886,0,0
732465,64,535,6,9,-1,1,-1,-1,-1,7,2,29800,0,33098932,0,0
752332,64,570,0,9,-1,1,-1,-1,75,7,1,2100,0,203631356,1,1
450434,64,473,6,2,-1,1,-1,-1,-1,4,2,9000,0,117274156,0,0
122524,64,911,6,7,-1,0,-1,-1,-1,8,1,5000,0,1313973713,0,0
480735,10,465,9,2,-1,1,40213,-1,-1,2,1,5000,0,1337705000,0,0
125203,64,885,6,9,-1,1,572111,20,-1,7,1,5000,0,1313973713,0,0
921492,64,256,6,7,-1,1,513351,190000,-1,6,1,5000,0,1331260000,0,0
398484,10,281,9,3,-1,1,513351,190000,-1,6,1,2900,0,1217726217,1,0
478558,64,246,6,8,-1,1,-1,-1,-1,7,0,4000,0,98423602,1,0
108417,64,407,6,9,-1,0,-1,-1,-1,4,3,7800,0,206163056,0,0
531944,1,227,9,6,-1,1,-1,-1,93,1,0,10700,0,47880595,0,0
124797,64,512,7,4,-1,1,-1,-1,68,7,2,37800,0,316059947,0,1
684067,64,704,6,1,1195299,1,7908,0,-1,2,1,2900,0,1095351995,1,0
348908,64,588,0,2,-1,1,-1,-1,-1,5,1,2100,0,165803560,1,1
401375,8,282,6,7,-1,1,-1,-1,-1,4,2,37800,0,318386329,0,1
921513,51,655,8,5,65750,1,-1,-1,94,8,2,37800,0,325122128,0,0
103727,64,78,0,9,-1,1,151513,-1,-1,9,0,4000,0,76873670,1,1
565343,64,255,6,7,-1,1,-1,-1,-1,6,0,10700,0,48489464,0,0
404388,64,707,6,9,-1,1,-1,-1,75,7,0,4000,0,100388076,1,1
